FID,primaryindex,state_code_2021,state_name_2021,lga_code_2021,lga_name_2021,erp_2001,erp_2002,growth_02,erp_2003,growth_03,erp_2004,growth_04,erp_2005,growth_05,erp_2006,growth_06,erp_2007,growth_07,erp_2008,growth_08,erp_2009,growth_09,erp_2010,growth_10,erp_2011,growth_11,erp_2012,growth_12,erp_2013,growth_13,erp_2014,growth_14,erp_2015,growth_15,erp_2016,growth_16,erp_2017,growth_17,erp_2018,growth_18,erp_2019,growth_19,erp_2020,growth_20,erp_2021,growth_21,erp_change_number_2020_21,erp_change_per_cent_2020_21,area_km2,pop_density_2021_people_per_km2,births_2016_17,deaths_2016_17,natural_increase_2016_17,internal_arrivals_2016_17,internal_departures_2016_17,net_internal_migration_2016_17,overseas_arrivals_2016_17,overseas_departures_2016_17,net_overseas_migration_2016_17,births_2017_18,deaths_2017_18,natural_increase_2017_18,internal_arrivals_2017_18,internal_departures_2017_18,net_internal_migration_2017_18,overseas_arrivals_2017_18,overseas_departures_2017_18,net_overseas_migration_2017_18,births_2018_19,deaths_2018_19,natural_increase_2018_19,internal_arrivals_2018_19,internal_departures_2018_19,net_internal_migration_2018_19,overseas_arrivals_2018_19,overseas_departures_2018_19,net_overseas_migration_2018_19,births_2019_20,deaths_2019_20,natural_increase_2019_20,internal_arrivals_2019_20,internal_departures_2019_20,net_internal_migration_2019_20,overseas_arrivals_2019_20,overseas_departures_2019_20,net_overseas_migration_2019_20,births_2020_21,deaths_2020_21,natural_increase_2020_21,internal_arrivals_2020_21,internal_departures_2020_21,net_internal_migration_2020_21,overseas_arrivals_2020_21,overseas_departures_2020_21,net_overseas_migration_2020_21
abs_regional_population_lga_2001_2021.1,1,1,New South Wales,10050,Albury,45265,45816,1.21728,46180,0.794482277,46505,0.703767865,47004,1.073002903,47566,1.195642924,48140,1.206744313,48518,0.785209805,48814,0.610082856,49222,0.835825788,49451,0.465239121,49785,0.675416068,50338,1.110776338,50990,1.29524415,51486,0.972739753,52171,1.330458765,52989,1.567920876,53705,1.351223839,54344,1.189833349,55056,1.310172236,55754,1.267800058,698,1.26779997,305.6386108,182.4181061,726,455,271,3570,3331,239,497,189,308,696,472,224,3861,3643,218,482,208,274,729,474,255,3829,3704,125,489,230,259,692,490,202,3900,3565,335,434,259,175,636,504,132,4087,3545,542,181,157,24
abs_regional_population_lga_2001_2021.2,2,1,New South Wales,10180,Armidale Regional,27906,27774,-0.47302,27610,-0.590480305,27410,-0.724375226,27350,-0.218898212,27377,0.098720293,27468,0.332395807,27788,1.164991991,28156,1.324312653,28409,0.898565137,28573,0.577281847,28748,0.612466314,28895,0.511339919,29015,0.415296764,29160,0.499741513,29310,0.514403292,29629,1.088365745,29705,0.256505451,29812,0.360208719,29703,-0.365624581,29484,-0.737299263,-219,-0.73729998,7809.44043,3.77539992,358,190,168,1907,2159,-252,648,245,403,319,220,99,1982,2356,-374,623,272,351,352,201,151,2030,2409,-379,633,298,335,347,218,129,1722,2186,-464,558,332,226,309,218,91,1963,2256,-293,182,199,-17
abs_regional_population_lga_2001_2021.3,3,1,New South Wales,10250,Ballina,37856,38417,1.48193,38870,1.179165474,39120,0.643169539,39305,0.472903885,39537,0.590255693,39824,0.725902319,40020,0.492165528,40295,0.687156422,40571,0.684948505,40747,0.433807399,41118,0.910496478,41510,0.953353762,41881,0.89376054,42336,1.086411499,42993,1.551870748,43480,1.132742539,44172,1.591536339,44622,1.018744906,45221,1.342387163,45773,1.220671812,552,1.22070003,484.9692078,94.38330078,401,466,-65,2985,2650,335,347,130,217,379,461,-82,3677,3093,584,334,144,190,450,466,-16,3353,3067,286,339,159,180,388,465,-77,3434,2880,554,302,180,122,431,463,-32,3713,3147,566,126,108,18
abs_regional_population_lga_2001_2021.4,4,1,New South Wales,10300,Balranald,2751,2703,-1.74482,2661,-1.553829079,2596,-2.442690718,2545,-1.964560863,2507,-1.493123772,2473,-1.356202633,2433,-1.617468662,2404,-1.191944102,2381,-0.956738769,2353,-1.17597648,2363,0.424989375,2381,0.761743546,2376,-0.2099958,2364,-0.505050505,2330,-1.438240271,2343,0.557939914,2338,-0.213401622,2338,0,2305,-1.411462789,2276,-1.25813449,-29,-1.25810003,21690.75,0.1049,38,17,21,110,125,-15,12,5,7,26,15,11,137,159,-22,11,5,6,32,21,11,164,181,-17,11,5,6,31,22,9,119,165,-46,10,6,4,28,20,8,131,168,-37,4,4,0
abs_regional_population_lga_2001_2021.5,5,1,New South Wales,10470,Bathurst Regional,35504,35831,0.92102,36084,0.70609249,36245,0.446181133,36547,0.833218375,36916,1.009658796,37272,0.964351501,37904,1.695642842,38848,2.490502322,39484,1.637149918,39960,1.205551616,40301,0.853353353,40727,1.057045731,41157,1.055810642,41694,1.304759822,42244,1.319134648,42806,1.330366443,43163,0.833995234,43612,1.040242801,43995,0.878198661,44540,1.238777134,545,1.23880005,3817.864502,11.66619968,482,317,165,2150,1935,215,294,112,182,484,330,154,2508,2466,42,284,123,161,529,325,204,2623,2532,91,289,135,154,458,308,150,2511,2379,132,255,154,101,503,302,201,2749,2422,327,109,92,17
abs_regional_population_lga_2001_2021.6,6,1,New South Wales,10500,Bayside (NSW),129075,129377,0.23397,130598,0.943753527,131144,0.418076847,132112,0.738119929,133205,0.827328327,135831,1.97139747,139556,2.742378397,142527,2.128894494,144295,1.240466719,144985,0.478187047,148028,2.098837811,151309,2.216472559,154980,2.426161035,159222,2.737127371,164534,3.336222381,170266,3.483778429,174218,2.321074084,178351,2.372315145,181445,1.734781414,182369,0.509245226,924,0.50919998,50.62039948,3602.677979,2468,1018,1450,10277,11060,-783,8202,3137,5065,2265,1110,1155,11576,13418,-1842,8112,3473,4639,2298,973,1325,11649,13358,-1709,8331,3814,4517,2333,969,1364,12165,13539,-1374,7407,4303,3104,2385,1016,1369,13601,14862,-1261,3382,2566,816
abs_regional_population_lga_2001_2021.7,7,1,New South Wales,10550,Bega Valley,30425,30790,1.19967,31056,0.863916856,31406,1.126996394,31608,0.6431892,31829,0.699190078,32183,1.112193283,32367,0.571730417,32620,0.781660333,32962,1.048436542,33128,0.503610218,33288,0.482975127,33430,0.426580149,33562,0.394854921,33713,0.449913593,33941,0.676296977,34117,0.51854689,34315,0.580355834,34473,0.460440041,34730,0.74551098,35046,0.909876188,316,0.90990001,6278.501465,5.58190012,281,345,-64,1824,1674,150,144,54,90,319,422,-103,2337,2115,222,138,59,79,299,381,-82,2189,2026,163,142,65,77,300,342,-42,2059,1809,250,125,76,49,273,360,-87,2277,1886,391,57,45,12
abs_regional_population_lga_2001_2021.8,8,1,New South Wales,10600,Bellingen,12634,12673,0.30869,12705,0.252505326,12672,-0.25974026,12682,0.078914141,12716,0.268096515,12773,0.448254168,12787,0.109606201,12837,0.391022132,12891,0.420659032,12923,0.248235203,12909,-0.108333978,12920,0.085211868,12929,0.069659443,12936,0.054141852,12951,0.115955473,12951,0,12953,0.015442823,12993,0.30880877,13142,1.146771338,13248,0.806574342,106,0.80659997,1600.433838,8.27779961,110,129,-19,890,914,-24,70,27,43,109,138,-29,1119,1129,-10,69,28,41,133,117,16,1107,1119,-12,69,33,36,108,153,-45,1182,1014,168,62,36,26,107,130,-23,1265,1140,125,26,22,4
abs_regional_population_lga_2001_2021.9,9,1,New South Wales,10650,Berrigan,8075,8058,-0.21053,8035,-0.285430628,8014,-0.261356565,8076,0.773646119,8160,1.040118871,8204,0.539215686,8237,0.402242808,8282,0.546315406,8291,0.108669404,8297,0.072367628,8365,0.81957334,8436,0.848774656,8519,0.983878615,8568,0.575184881,8609,0.478524743,8667,0.673713556,8700,0.380754586,8750,0.574712644,8785,0.4,8810,0.284575982,25,0.28459999,2065.887695,4.26450014,75,96,-21,608,570,38,67,26,41,78,80,-2,606,607,-1,65,29,36,76,103,-27,678,635,43,65,31,34,95,92,3,596,588,8,59,35,24,69,86,-17,626,588,38,25,21,4
abs_regional_population_lga_2001_2021.10,10,1,New South Wales,10750,Blacktown,263103,267048,1.49941,268806,0.658308619,271434,0.977656749,275206,1.389656417,278894,1.340087062,284925,2.162470329,292002,2.483811529,299450,2.550667461,306601,2.388044749,312346,1.873770797,317735,1.725330243,324797,2.222606889,331825,2.163813089,339449,2.297596625,348030,2.527920247,357839,2.818435192,366078,2.302432099,374372,2.265637378,382780,2.245894458,387104,1.129630597,4324,1.12960005,238.8471069,1620.718872,5743,1637,4106,21001,20425,576,8358,3231,5127,5769,1678,4091,23242,23603,-361,8080,3571,4509,5965,1630,4335,24615,24925,-310,8185,3916,4269,6035,1692,4343,25373,24193,1180,7267,4382,2885,5969,1690,4279,26146,26512,-366,3063,2652,411
