Date,State,Buildings,Population,Building_pop
Sep-1980,New South Wales,9824,14807370,663.4534019
Dec-1980,New South Wales,9866,14807370,666.2898273
Mar-1981,New South Wales,9360,15054117,621.7568257
Jun-1981,New South Wales,8653,15054117,574.7929287
Sep-1981,New South Wales,8057,15054117,535.20243
Dec-1981,New South Wales,7298,15054117,484.7843284
Mar-1982,New South Wales,6073,15288891,397.2165149
Jun-1982,New South Wales,6324,15288891,413.6336638
Sep-1982,New South Wales,4847,15288891,317.0275725
Dec-1982,New South Wales,5132,15288891,335.6685583
Mar-1983,New South Wales,5492,15483496,354.7002563
Jun-1983,New South Wales,5900,15483496,381.0508944
Sep-1983,New South Wales,6525,15483496,421.4164553
Dec-1983,New South Wales,6967,15483496,449.9629799
Mar-1984,New South Wales,7950,15677282,507.1032083
Jun-1984,New South Wales,7373,15677282,470.2983591
Sep-1984,New South Wales,7359,15677282,469.4053472
Dec-1984,New South Wales,7303,15677282,465.8332994
Mar-1985,New South Wales,6693,15900566,420.9284122
Jun-1985,New South Wales,8096,15900566,509.164265
Sep-1985,New South Wales,7249,15900566,455.8957209
Dec-1985,New South Wales,6707,15900566,421.808884
Mar-1986,New South Wales,6277,16138769,388.939206
Jun-1986,New South Wales,5842,16138769,361.9854773
Sep-1986,New South Wales,5590,16138769,346.3709035
Dec-1986,New South Wales,5499,16138769,340.7323074
Mar-1987,New South Wales,5011,16394641,305.6486568
Jun-1987,New South Wales,5507,16394641,335.9024452
Sep-1987,New South Wales,5626,16394641,343.1609146
Dec-1987,New South Wales,6989,16394641,426.2978372
Mar-1988,New South Wales,7383,16687082,442.4380488
Jun-1988,New South Wales,7942,16687082,475.9370152
Sep-1988,New South Wales,9124,16687082,546.7702502
Dec-1988,New South Wales,8676,16687082,519.9231358
Mar-1989,New South Wales,8661,16936723,511.3740126
Jun-1989,New South Wales,7793,16936723,460.124429
Sep-1989,New South Wales,7166,16936723,423.1042806
Dec-1989,New South Wales,5722,16936723,337.8457568
Mar-1990,New South Wales,6153,17169768,358.3624426
Jun-1990,New South Wales,7150,17169768,416.4296221
Sep-1990,New South Wales,5312,17169768,309.3810004
Dec-1990,New South Wales,6061,17169768,353.0041874
Mar-1991,New South Wales,5893,17378981,339.0877751
Jun-1991,New South Wales,5866,17378981,337.5341742
Sep-1991,New South Wales,6459,17378981,371.6558525
Dec-1991,New South Wales,6903,17378981,397.2039557
Mar-1992,New South Wales,6332,17557133,360.6511382
Jun-1992,New South Wales,6680,17557133,380.472142
Sep-1992,New South Wales,6625,17557133,377.3395121
Dec-1992,New South Wales,6870,17557133,391.2939544
Mar-1993,New South Wales,7147,17719090,403.3502849
Jun-1993,New South Wales,6785,17719090,382.9203418
Sep-1993,New South Wales,7297,17719090,411.8157309
Dec-1993,New South Wales,6650,17719090,375.3014404
Mar-1994,New South Wales,6930,17893433,387.2929247
Jun-1994,New South Wales,8199,17893433,458.212798
Sep-1994,New South Wales,7967,17893433,445.2471474
Dec-1994,New South Wales,7367,17893433,411.7152924
Mar-1995,New South Wales,6668,18119616,367.9989686
Jun-1995,New South Wales,6148,18119616,339.3007887
Sep-1995,New South Wales,5946,18119616,328.1526496
Dec-1995,New South Wales,5723,18119616,315.8455455
Mar-1996,New South Wales,5791,18330079,315.9288075
Jun-1996,New South Wales,5631,18330079,307.1999853
Sep-1996,New South Wales,5500,18330079,300.0532622
Dec-1996,New South Wales,5994,18330079,327.0035006
Mar-1997,New South Wales,6114,18510004,330.3078703
Jun-1997,New South Wales,5782,18510004,312.3716235
Sep-1997,New South Wales,6094,18510004,329.2273735
Dec-1997,New South Wales,6975,18510004,376.8232573
Mar-1998,New South Wales,6838,18705620,365.5585861
Jun-1998,New South Wales,6867,18705620,367.1089223
Sep-1998,New South Wales,7326,18705620,391.6470023
Dec-1998,New South Wales,6179,18705620,330.3285323
Mar-1999,New South Wales,6851,18919210,362.1187143
Jun-1999,New South Wales,7211,18919210,381.1469929
Sep-1999,New South Wales,7210,18919210,381.0941366
Dec-1999,New South Wales,7053,18919210,372.7956928
Mar-2000,New South Wales,8666,19141036,452.7445641
Jun-2000,New South Wales,7914,19141036,413.4572444
Sep-2000,New South Wales,4299,19141036,224.5959937
Dec-2000,New South Wales,4537,19141036,237.0300124
Mar-2001,New South Wales,4249,19386461,219.1735769
Jun-2001,New South Wales,4554,19386461,234.9062059
Sep-2001,New South Wales,5624,19386461,290.0993637
Dec-2001,New South Wales,6944,19386461,358.188119
Mar-2002,New South Wales,6378,19605441,325.3178544
Jun-2002,New South Wales,6606,19605441,336.9472791
Sep-2002,New South Wales,6710,19605441,342.2519289
Dec-2002,New South Wales,6140,19605441,313.1783672
Mar-2003,New South Wales,5922,19827155,298.6812783
Jun-2003,New South Wales,5929,19827155,299.0343294
Sep-2003,New South Wales,5626,19827155,283.752258
Dec-2003,New South Wales,5988,19827155,302.0100463
Mar-2004,New South Wales,5801,20046003,289.3843725
Jun-2004,New South Wales,5528,20046003,275.7656975
Sep-2004,New South Wales,5528,20046003,275.7656975
Dec-2004,New South Wales,5323,20046003,265.53922
Mar-2005,New South Wales,4319,20311543,212.6377105
Jun-2005,New South Wales,4728,20311543,232.7740438
Sep-2005,New South Wales,4266,20311543,210.0283568
Dec-2005,New South Wales,4179,20311543,205.7450781
